,Word,Count_Romeo,Count_Moby,Count_Gatsby,Count_Hamlet
250,feet,0.0,118.0,23.0,0.0
251,crew,0.0,118.0,0.0,0.0
252,something,0.0,117.0,64.0,15.0
253,whale’s,0.0,117.0,0.0,0.0
254,between,0.0,115.0,24.0,15.0
255,pequod,0.0,115.0,0.0,0.0
256,towards,0.0,113.0,0.0,0.0
257,just,0.0,113.0,94.0,0.0
258,found,0.0,113.0,36.0,0.0
259,under,0.0,112.0,32.0,0.0
260,full,0.0,111.0,20.0,0.0
261,air,0.0,109.0,25.0,0.0
262,oh,0.0,108.0,0.0,0.0
263,along,0.0,107.0,30.0,0.0
264,times,0.0,107.0,0.0,0.0
265,another,0.0,106.0,36.0,19.0
266,line,0.0,106.0,0.0,0.0
267,don’t,0.0,105.0,73.0,0.0
268,called,0.0,104.0,29.0,0.0
269,whaling,0.0,100.0,0.0,0.0
270,body,0.0,97.0,0.0,15.0
271,high,0.0,96.0,0.0,0.0
272,sight,0.0,96.0,0.0,0.0
273,strange,0.0,96.0,0.0,0.0
274,heard,0.0,96.0,43.0,14.0
275,moment,0.0,96.0,69.0,0.0
276,saw,0.0,95.0,52.0,0.0
277,went,0.0,94.0,90.0,0.0
278,few,0.0,92.0,25.0,0.0
279,stood,0.0,88.0,28.0,0.0
280,end,0.0,88.0,0.0,17.0
281,because,0.0,87.0,44.0,0.0
282,certain,0.0,87.0,0.0,0.0
283,however,0.0,86.0,0.0,0.0
284,half,0.0,86.0,36.0,0.0
285,whether,0.0,85.0,0.0,0.0
286,voyage,0.0,85.0,0.0,0.0
287,perhaps,0.0,85.0,0.0,0.0
288,seems,0.0,85.0,0.0,0.0
289,also,0.0,85.0,0.0,0.0
290,him;,0.0,85.0,0.0,0.0
291,going,0.0,84.0,65.0,0.0
292,indeed,0.0,84.0,0.0,30.0
293,black,0.0,83.0,0.0,0.0
294,it’s,0.0,83.0,25.0,0.0
295,seem,0.0,83.0,0.0,0.0
296,sometimes,0.0,83.0,0.0,0.0
297,wild,0.0,82.0,0.0,0.0
298,standing,0.0,82.0,0.0,0.0
299,itself,0.0,81.0,18.0,23.0
300,fish,0.0,81.0,0.0,0.0
301,always,0.0,80.0,33.0,0.0
302,aye,0.0,80.0,0.0,0.0
303,flask,0.0,80.0,0.0,0.0
304,nantucket,0.0,79.0,0.0,0.0
305,present,0.0,79.0,0.0,0.0
306,matter,0.0,78.0,0.0,23.0
307,ship’s,0.0,77.0,0.0,0.0
308,years,0.0,76.0,30.0,0.0
309,known,0.0,76.0,0.0,0.0
310,moby,0.0,76.0,0.0,0.0
311,hard,0.0,75.0,0.0,0.0
312,leg,0.0,75.0,0.0,0.0
313,sailor,0.0,74.0,0.0,0.0
314,seas,0.0,74.0,0.0,0.0
315,beneath,0.0,74.0,0.0,0.0
316,days,0.0,73.0,0.0,0.0
317,arm,0.0,73.0,0.0,0.0
318,large,0.0,73.0,0.0,0.0
319,iron,0.0,73.0,0.0,0.0
320,ahab’s,0.0,73.0,0.0,0.0
321,sail,0.0,72.0,0.0,0.0
322,ships,0.0,72.0,0.0,0.0
323,mind,0.0,71.0,0.0,0.0
324,length,0.0,71.0,0.0,0.0
325,instant,0.0,70.0,0.0,0.0
326,often,0.0,70.0,0.0,0.0
327,oil,0.0,70.0,0.0,0.0
328,cabin,0.0,70.0,0.0,0.0
329,harpooneer,0.0,69.0,0.0,0.0
330,least,0.0,69.0,0.0,0.0
331,gatsby,0.0,0.0,171.0,0.0
332,tom,0.0,0.0,163.0,0.0
333,daisy,0.0,0.0,137.0,0.0
334,got,0.0,0.0,83.0,0.0
335,looked,0.0,0.0,82.0,0.0
336,didn’t,0.0,0.0,81.0,0.0
337,gatsby’s,0.0,0.0,67.0,0.0
338,around,0.0,0.0,67.0,0.0
339,door,0.0,0.0,65.0,0.0
340,turned,0.0,0.0,64.0,0.0
341,wilson,0.0,0.0,61.0,0.0
342,jordan,0.0,0.0,60.0,0.0
343,people,0.0,0.0,58.0,0.0
344,voice,0.0,0.0,57.0,12.0
345,want,0.0,0.0,55.0,0.0
346,car,0.0,0.0,54.0,0.0
347,knew,0.0,0.0,53.0,0.0
348,room,0.0,0.0,53.0,28.0
349,began,0.0,0.0,50.0,0.0
350,took,0.0,0.0,48.0,0.0
351,toward,0.0,0.0,47.0,0.0
352,told,0.0,0.0,44.0,0.0
353,asked,0.0,0.0,43.0,0.0
354,girl,0.0,0.0,42.0,0.0
355,until,0.0,0.0,41.0,0.0
356,suddenly,0.0,0.0,40.0,0.0
357,left,0.0,0.0,39.0,0.0
358,wasn’t,0.0,0.0,38.0,0.0
359,i’m,0.0,0.0,36.0,0.0
360,miss,0.0,0.0,36.0,0.0
361,looking,0.0,0.0,34.0,0.0
362,west,0.0,0.0,33.0,0.0
363,i’d,0.0,0.0,33.0,0.0
364,next,0.0,0.0,33.0,0.0
365,baker,0.0,0.0,32.0,0.0
366,sat,0.0,0.0,32.0,0.0
367,egg,0.0,0.0,31.0,0.0
368,front,0.0,0.0,30.0,0.0
369,afternoon,0.0,0.0,30.0,0.0
370,table,0.0,0.0,30.0,0.0
371,five,0.0,0.0,30.0,0.0
372,can’t,0.0,0.0,30.0,0.0
373,minute,0.0,0.0,29.0,0.0
374,sound,0.0,0.0,29.0,0.0
375,daisy’s,0.0,0.0,29.0,0.0
376,couldn’t,0.0,0.0,28.0,0.0
377,wanted,0.0,0.0,27.0,0.0
378,moved,0.0,0.0,27.0,0.0
379,gave,0.0,0.0,26.0,0.0
380,morning,0.0,0.0,26.0,0.0
381,across,0.0,0.0,26.0,0.0
382,inquired,0.0,0.0,26.0,0.0
383,rather,0.0,0.0,25.0,0.0
384,together,0.0,0.0,25.0,12.0
385,dark,0.0,0.0,25.0,0.0
386,garage,0.0,0.0,25.0,0.0
387,started,0.0,0.0,24.0,0.0
388,later,0.0,0.0,24.0,0.0
389,york,0.0,0.0,24.0,0.0
390,four,0.0,0.0,24.0,0.0
391,demanded,0.0,0.0,24.0,0.0
392,that’s,0.0,0.0,24.0,16.0
393,steps,0.0,0.0,24.0,0.0
394,felt,0.0,0.0,23.0,0.0
395,walked,0.0,0.0,23.0,0.0
396,anything,0.0,0.0,23.0,0.0
397,broke,0.0,0.0,23.0,0.0
398,“he,0.0,0.0,23.0,0.0
399,home,0.0,0.0,23.0,0.0
400,lawn,0.0,0.0,22.0,0.0
401,yellow,0.0,0.0,22.0,0.0
402,course,0.0,0.0,22.0,0.0
403,o’clock,0.0,0.0,22.0,0.0
404,east,0.0,0.0,21.0,0.0
405,garden,0.0,0.0,21.0,0.0
406,open,0.0,0.0,21.0,0.0
407,blue,0.0,0.0,21.0,0.0
408,beside,0.0,0.0,21.0,0.0
409,hadn’t,0.0,0.0,21.0,0.0
410,michaelis,0.0,0.0,21.0,0.0
411,windows,0.0,0.0,20.0,0.0
412,hot,0.0,0.0,20.0,0.0
413,met,0.0,0.0,20.0,0.0
414,drive,0.0,0.0,20.0,0.0
415,wouldn’t,0.0,0.0,20.0,0.0
416,girls,0.0,0.0,20.0,0.0
417,wolfshiem,0.0,0.0,20.0,0.0
418,city,0.0,0.0,19.0,0.0
419,stopped,0.0,0.0,19.0,0.0
420,rose,0.0,0.0,19.0,0.0
421,hair,0.0,0.0,19.0,0.0
422,tried,0.0,0.0,19.0,0.0
423,loved,0.0,0.0,19.0,0.0
424,everything,0.0,0.0,18.0,0.0
425,road,0.0,0.0,18.0,0.0
426,hamlet,0.0,0.0,0.0,446.0
427,king,0.0,0.0,0.0,184.0
428,horatio,0.0,0.0,0.0,150.0
429,queen,0.0,0.0,0.0,114.0
430,polonius,0.0,0.0,0.0,105.0
431,laertes,0.0,0.0,0.0,91.0
432,ophelia,0.0,0.0,0.0,80.0
433,rosencrantz,0.0,0.0,0.0,78.0
434,guildenstern,0.0,0.0,0.0,57.0
435,marcellus,0.0,0.0,0.0,46.0
436,clown,0.0,0.0,0.0,46.0
437,mother,0.0,0.0,0.0,39.0
438,osric,0.0,0.0,0.0,32.0
439,lord?,0.0,0.0,0.0,31.0
440,castle,0.0,0.0,0.0,30.0
441,barnardo,0.0,0.0,0.0,28.0
442,ghost,0.0,0.0,0.0,27.0
443,play,0.0,0.0,0.0,27.0
444,act,0.0,0.0,0.0,24.0
445,nature,0.0,0.0,0.0,24.0
446,denmark,0.0,0.0,0.0,22.0
447,i’,0.0,0.0,0.0,22.0
448,madness,0.0,0.0,0.0,21.0
449,friends,0.0,0.0,0.0,20.0
